deviceCode_location_wardName,deviceCode_pyld_alarmType,date,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,PCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,HMW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,HMW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,UFCW,7.3.18,,,,
A Narayanapura,HMW,7.3.18,,,,
A Narayanapura,FCW,7.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,FCW,8.3.18,,,,
A Narayanapura,PCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,Overspeed,8.3.18,,,,
A Narayanapura,FCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,Overspeed,8.3.18,,,,
A Narayanapura,FCW,8.3.18,,,,
A Narayanapura,FCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,HMW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,FCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,HMW,8.3.18,,,,
A Narayanapura,HMW,8.3.18,,,,
A Narayanapura,UFCW,8.3.18,,,,
A Narayanapura,FCW,8.3.18,,,,
A Narayanapura,HMW,8.3.18,,,,
A Narayanapura,FCW,8.3.18,,,,
