lat,lon
12.99106312,77.72766876
12.99102783,77.72766876
12.99099541,77.72766876
12.98995972,77.7273407
12.98962116,77.72724152
12.98934269,77.7272644
12.98925972,77.72727203
12.98921299,77.72727203
12.98915291,77.72724915
12.98913956,77.72724152
12.98896313,77.72751617
12.98871994,77.72869873
12.98870468,77.72877502
12.98807812,77.73240662
12.98779011,77.73420715
12.98763084,77.73602295
13.00964546,77.75945282
13.00967312,77.75942993
12.98762512,77.73897552
12.98763847,77.739151
13.00458527,77.75691986
12.98724461,77.74158478
13.00327301,77.75714874
12.98719597,77.7417984
13.00327301,77.75714874
12.98719597,77.7417984
13.00308609,77.75719452
12.98689556,77.74298859
12.9868803,77.74305725
12.98686123,77.74312592
12.98539257,77.74443817
12.98385143,77.74381256
12.99253273,77.7554245
12.99252605,77.75533295
12.99260044,77.75450897
12.99048996,77.75072479
12.98638821,77.74973297
12.98555088,77.74816132
12.98633003,77.74494934
12.98361111,77.74382782
12.98644638,77.74446106
12.98715305,77.74160767
12.98721504,77.74126434
12.98727036,77.74108124
12.98728466,77.74102783
12.98729038,77.74100494
12.98752594,77.73868561
12.98752308,77.73840332
12.98751831,77.73826599
12.98752308,77.7381897
12.98752308,77.73812103
12.98752975,77.73724365
12.98753834,77.73690033
12.98754311,77.73674011
12.98754311,77.7362442
12.98754311,77.73618317
12.98757458,77.73560333
12.98805523,77.73246002
12.98826027,77.73127747
12.98925304,77.72615051
12.98966789,77.72541046
12.99031258,77.72368622
12.99090481,77.72179413
12.99143982,77.72081757
12.97921085,77.74239349
12.99189568,77.71572876
12.99165535,77.71555328
12.98552036,77.74450684
12.98629475,77.74411774
12.9874897,77.74001312
12.98750973,77.73854065
12.98825073,77.73136139
12.9885807,77.72931671
12.98989773,77.71340179
12.99005985,77.7272644
12.9879179,77.70992279
12.99022961,77.72728729
12.9879179,77.70992279
12.99022961,77.72728729
12.98709297,77.70909119
12.99094963,77.72731018
12.98709297,77.70909119
12.99094963,77.72731018
12.99103069,77.72753906
12.99102592,77.72756958
12.99114037,77.72802734
12.98609257,77.70788574
12.98623466,77.70787811
12.98643494,77.70781708
12.99148464,77.72841644
12.99190044,77.72873688
12.99201965,77.72891235
12.99221802,77.72916412
12.98882008,77.70251465
12.99235058,77.73048401
12.99026012,77.70391846
12.99042034,77.70393372
12.9931097,77.73141479
12.99313259,77.73141479
12.99347496,77.73138428
12.99136543,77.70296478
12.99468136,77.73145294
12.99550533,77.73130035
12.99143791,77.70281219
12.99580002,77.73094177
12.99566841,77.73010254
12.99569607,77.72969818
12.9954958,77.72831726
12.99542046,77.7279129
12.99493313,77.72683716
12.99489594,77.72682953
12.99438477,77.70126343
12.99420834,77.70127869
12.99409294,77.72679138
12.99384022,77.70233154
12.99272537,77.72679901
12.99195766,77.72691345
12.99306774,77.70590973
12.99306774,77.70590973
12.99306774,77.70590973
12.99306774,77.70590973
12.99306297,77.70615387
12.99303627,77.706604
12.99059963,77.72755432
12.99372005,77.71695709
12.98947144,77.72718811
12.98939514,77.72719574
12.98898029,77.72737885
12.99272633,77.71645355
12.99266624,77.71639252
12.98803139,77.73338318
12.98801041,77.73345184
12.98801041,77.73345184
12.98801041,77.73345184
12.98801041,77.73345184
12.98801136,77.73355103
12.98788071,77.73435974
12.98786259,77.73464203
12.99232769,77.7168808
12.99228001,77.71781921
12.99228477,77.71790314
12.99228954,77.7183609
12.99228954,77.71843719
12.99229527,77.71902466
12.99104977,77.72167969
12.99083614,77.72219849
12.98771095,77.73912048
12.99054337,77.72310638
12.9892683,77.72629547
12.99018765,77.7273407
12.99028587,77.72738647
12.98740482,77.74105835
12.99133778,77.72820282
12.99143314,77.72843933
12.99181843,77.72872162
12.98512268,77.74429321
12.99241257,77.73032379
12.9827776,77.74398041
12.99319458,77.73132324
12.97918129,77.7423172
12.97875786,77.74214172
12.97729588,77.74180603
12.99474525,77.73136902
12.99565315,77.72988892
12.99564266,77.72971344
12.99550629,77.72842407
12.99543285,77.72794342
12.99490261,77.72681427
12.99415112,77.72685242
12.99269295,77.72686768
12.99186039,77.72701263
12.99037457,77.72757721
12.98996258,77.72737122
12.9898262,77.72732544
12.9895649,77.72724915
12.98912621,77.72727203
12.98909473,77.72727203
12.98850632,77.7297821
12.98821831,77.73191834
12.98784542,77.73409271
12.98765087,77.73595428
12.98740578,77.74112701
12.98541069,77.7444458
12.98384094,77.74385834
12.98037529,77.74293518
12.97885799,77.74221802
12.97637558,77.7414856
12.9758749,77.74191284
12.97574806,77.74228668
12.97738266,77.73873138
12.9763279,77.74021149
12.9758606,77.74182129
12.97585487,77.74184418
12.97665977,77.74226379
12.97593594,77.74163055
12.97598076,77.7414856
12.97818565,77.74207306
12.98133755,77.74346161
12.98270321,77.74402618
12.98284531,77.74401855
12.98326969,77.74390411
12.9851284,77.7443161
12.98538303,77.74443054
12.98599339,77.74469757
12.98602295,77.74472046
12.98605061,77.74475098
12.98607636,77.74476624
12.98810101,77.73203278
12.9901228,77.72734833
12.99024105,77.72741699
12.98346806,77.74386597
12.98620319,77.74478149
12.98621273,77.74478912
12.98623466,77.74479675
12.98740768,77.74063873
12.98754311,77.73994446
12.98754501,77.7396698
12.98754501,77.7396698
12.98754501,77.7396698
12.98754501,77.7396698
12.9875412,77.73886108
12.9875412,77.73880005
12.98753548,77.7382431
12.98753643,77.73805237
12.98753834,77.73615265
12.98753834,77.73615265
12.98753834,77.73615265
12.98753834,77.73615265
12.98754597,77.73582459
12.98754787,77.73576355
12.98768806,77.73471832
12.98790264,77.73343658
12.98791313,77.73336792
12.99045277,77.7275238
12.98811531,77.73225403
12.98953819,77.72717285
12.98835754,77.7305603
12.99001026,77.72467041
12.98785782,77.73362732
12.9903307,77.72357941
12.99060059,77.72258759
12.99114513,77.72131348
12.99178791,77.72021484
12.99195766,77.71990204
12.98764801,77.73764038
12.9876461,77.73771667
12.98764515,77.7386322
12.98765755,77.73963928
12.99221134,77.71638489
12.98766518,77.73985291
12.99129295,77.71517944
12.99122334,77.71510315
12.98731804,77.7413559
12.98727989,77.74150085
12.98416328,77.74394226
12.98354054,77.74391174
12.98856258,77.71109772
12.98225975,77.74390411
12.98791313,77.7099762
12.98733044,77.70914459
12.98695278,77.70892334
12.97890759,77.74224854
12.98788071,77.70733643
12.99020958,77.706604
12.99332333,77.70384216
12.99375057,77.70263672
12.9934206,77.70391846
12.99330997,77.70428467
12.99318123,77.70474243
12.99304962,77.70572662
12.9919548,77.71363831
12.99265575,77.71640778
12.99192047,77.72003937
12.99186802,77.72012329
12.99132633,77.72104645
12.99087048,77.72188568
12.99012566,77.72435761
12.98966599,77.72545624
12.98898315,77.72736359
12.98898315,77.72736359
12.98898315,77.72736359
12.98898315,77.72736359
12.9881382,77.73233795
12.98766041,77.73578644
12.9876461,77.7361145
12.98766041,77.73692322
12.98765278,77.73709869
12.98764324,77.73735809
12.9876461,77.73887634
12.98761845,77.74014282
12.98753548,77.74052429
12.98752117,77.7405777
12.98738956,77.74108887
12.98700809,77.74259949
12.98663139,77.74411774
12.98661613,77.74417877
12.98659992,77.74423981
12.98599815,77.74472046
12.98575592,77.74463654
12.98327637,77.74391937
12.98139954,77.7434845
12.9813652,77.74346924
12.97983646,77.74268341
12.9819231,77.7436676
12.98250961,77.74393463
12.98284817,77.74397278
12.98292065,77.74395752
12.98581982,77.74462128
12.98596478,77.74465179
12.98606777,77.74469757
12.98707294,77.74169922
12.98737621,77.74066162
12.98752594,77.73993683
12.9875412,77.73873901
12.98754311,77.73799133
12.98753834,77.73667908
12.98755264,77.73612213
12.98755264,77.73605347
12.98763847,77.73492432
12.98777103,77.7342453
12.98779774,77.73409271
12.98781013,77.73402405
12.98785496,77.7338028
12.98800755,77.73271942
12.98808098,77.73213959
12.98814106,77.73177338
12.98821831,77.73147583
12.98883057,77.72809601
12.98919964,77.72644043
12.98975086,77.72531891
12.99034119,77.72360229
12.99037075,77.72349548
12.99040031,77.72338867
12.99089623,77.7217865
12.99089623,77.7217865
12.99089623,77.7217865
12.99089623,77.7217865
12.99093342,77.72171783
12.99097061,77.72164154
12.99145126,77.72079468
12.99218559,77.71769714
12.99222279,77.71705627
12.99215794,77.7159729
12.99114037,77.71490479
12.99092293,77.71468353
12.98827553,77.71054077
12.98761845,77.70942688
12.98654461,77.70869446
12.98207092,77.74381256
12.98642826,77.70780945
12.98642826,77.70780945
12.98642826,77.70780945
12.98642826,77.70780945
12.98805046,77.70658112
12.9882412,77.70553589
12.98606777,77.74421692
12.98842812,77.70402527
12.98712254,77.74146271
12.98749065,77.74000549
12.98750305,77.73931885
12.98750114,77.73924255
12.98750114,77.7390213
12.98752022,77.73722839
12.98756123,77.73535919
12.98756123,77.73535919
12.98756123,77.73535919
12.98756123,77.73535919
12.98757839,77.73521423
12.98775578,77.73428345
12.99107456,77.70334625
12.98788548,77.7333374
12.99137497,77.70287323
12.98808479,77.73204041
12.98815632,77.73165131
12.98822594,77.73123169
12.99248123,77.70298767
12.99325466,77.70301056
12.99406147,77.7012558
12.99454021,77.70129395
12.99202061,77.72885132
12.99345112,77.70389557
12.99564457,77.72927094
12.99334621,77.71530151
12.99350452,77.7153244
12.99547482,77.72822571
12.99541473,77.72788239
12.9948864,77.72683716
12.99374962,77.72683716
12.99268818,77.72682953
12.99187565,77.72697449
12.99321842,77.71700287
12.99056053,77.72756195
12.9895401,77.72720337
12.99223995,77.71842194
12.99210835,77.7197113
12.99204254,77.71985626
12.98859596,77.73062134
12.99153519,77.72075653
12.99106026,77.72158051
12.99091339,77.72187042
12.98929787,77.72615814
12.98914146,77.72680664
12.98886013,77.72806549
12.98856258,77.72968292
12.98855305,77.72974396
12.98855495,77.73008728
12.98768997,77.73725128
12.98854065,77.73030853
12.98853588,77.7303772
12.9885006,77.73059845
12.98843575,77.73099518
12.98843479,77.73126221
12.98762608,77.74012756
12.9875927,77.74027252
12.98735046,77.74130249
12.98814011,77.73217773
12.98692608,77.74293518
12.98800755,77.73290253
12.98690605,77.74300385
12.98800755,77.73290253
12.98690605,77.74300385
12.98792553,77.73339844
12.98791599,77.73345947
12.98767281,77.73594666
12.98767567,77.73601532
12.98767281,77.73644257
