,0.0000,1.0000
566,12.9477,77.6990
567,12.9488,77.6993
568,12.9531,77.7001
569,12.9532,77.7001
570,12.9541,77.7004
571,12.9547,77.7005
572,12.9553,77.7007
573,12.9568,77.7035
574,12.9561,77.7011
575,12.9519,77.6999
576,12.9515,77.6998
577,12.9488,77.6994
578,12.9475,77.6990
579,12.9432,77.6975
580,12.9423,77.6970
581,12.9410,77.6963
582,12.9385,77.6946
583,12.9373,77.6932
584,12.9358,77.6916
585,12.9352,77.6910
586,12.9348,77.6905
587,12.9345,77.6902
588,12.9343,77.6900
589,12.9340,77.6897
590,12.9332,77.6888
591,12.9329,77.6885
592,12.9311,77.6867
593,12.9309,77.6865
594,12.9306,77.6860
595,12.9282,77.6831
596,12.9288,77.6831
597,12.9284,77.6821
598,12.9279,77.6812
599,12.9270,77.6791
600,12.9266,77.6784
601,12.9266,77.6784
602,12.9260,77.6769
603,12.9282,77.6811
604,12.9287,77.6820
605,12.9289,77.6825
606,12.9290,77.6829
607,12.9297,77.6841
608,12.9322,77.6875
609,12.9333,77.6888
610,12.9345,77.6901
611,12.9367,77.6924
612,12.9409,77.6960
613,12.9460,77.6983
614,12.9460,77.6984
615,12.9468,77.6987
616,12.9477,77.6990
617,12.9488,77.6993
618,12.9531,77.7001
619,12.9532,77.7001
620,12.9541,77.7004
621,12.9547,77.7005
622,12.9553,77.7007
623,12.9568,77.7035
624,12.9561,77.7011
625,12.9519,77.6999
626,12.9515,77.6998
627,12.9488,77.6994
628,12.9475,77.6990
629,12.9432,77.6975
630,12.9423,77.6970
631,12.9410,77.6963
632,12.9385,77.6946
633,12.9373,77.6932
634,12.9358,77.6916
635,12.9352,77.6910
636,12.9348,77.6905
637,12.9345,77.6902
638,12.9343,77.6900
639,12.9340,77.6897
640,12.9332,77.6888
641,12.9329,77.6885
642,12.9311,77.6867
643,12.9309,77.6865
644,12.9306,77.6860
645,12.9266,77.6838
646,12.9270,77.6834
647,12.9285,77.6822
648,12.9269,77.6789
649,12.9268,77.6788
650,12.9265,77.6781
651,12.9262,77.6774
652,12.9261,77.6773
653,12.9265,77.6776
654,12.9273,77.6794
655,12.9286,77.6820
656,12.9287,77.6822
657,12.9295,77.6841
658,12.9249,77.6847
659,12.9280,77.6829
660,12.9281,77.6829
661,12.9282,77.6829
662,12.9277,77.6808
663,12.9266,77.6784
664,12.9264,77.6779
665,12.9263,77.6777
666,12.9264,77.6774
667,12.9269,77.6784
668,12.9284,77.6815
669,12.9290,77.6829
670,12.9306,77.6856
671,12.9307,77.6858
672,12.9321,77.6874
673,12.9331,77.6885
674,12.9337,77.6892
675,12.9350,77.6906
676,12.9364,77.6920
677,12.9399,77.6954
678,12.9417,77.6965
679,12.9430,77.6973
680,12.9455,77.6982
681,12.9464,77.6985
682,12.9480,77.6990
683,12.9481,77.6991
684,12.9492,77.6993
685,12.9494,77.6994
686,12.9502,77.6995
687,12.9503,77.6995
688,12.9511,77.6997
689,12.9514,77.6997
690,12.9525,77.6999
691,12.9536,77.7001
692,12.9526,77.7002
693,12.9517,77.6999
694,12.9513,77.6999
695,12.9511,77.6998
696,12.9505,77.6997
697,12.9505,77.6997
698,12.9501,77.6996
699,12.9495,77.6996
700,12.9489,77.6995
701,12.9482,77.6993
702,12.9479,77.6992
703,12.9461,77.6985
704,12.9458,77.6984
705,12.9431,77.6975
706,12.9428,77.6973
707,12.9418,77.6967
708,12.9413,77.6965
709,12.9409,77.6963
710,12.9386,77.6947
711,12.9376,77.6936
712,12.9374,77.6934
713,12.9370,77.6929
714,12.9366,77.6924
715,12.9364,77.6923
716,12.9362,77.6921
717,12.9356,77.6914
718,12.9349,77.6906
719,12.9343,77.6899
720,12.9341,77.6898
721,12.9332,77.6887
722,12.9320,77.6876
723,12.9312,77.6867
724,12.9306,77.6861
725,12.9313,77.6866
726,12.9323,77.6876
727,12.9329,77.6883
728,12.9345,77.6900
729,12.9360,77.6917
730,12.9363,77.6920
731,12.9365,77.6923
732,12.9406,77.6958
733,12.9410,77.6961
734,12.9421,77.6967
735,12.9426,77.6970
736,12.9428,77.6971
737,12.9433,77.6974
738,12.9436,77.6975
739,12.9440,77.6977
740,12.9463,77.6985
741,12.9471,77.6987
742,12.9477,77.6989
743,12.9481,77.6991
744,12.9486,77.6992
745,12.9490,77.6993
746,12.9504,77.6995
747,12.9510,77.6996
748,12.9512,77.6996
749,12.9514,77.6997
750,12.9521,77.6998
751,12.9526,77.6999
752,12.9551,77.7008
753,12.9548,77.7007
